product,actor,role,n_in,mu_in,n_out,mu_out,t_out
VEV_5400,Mark 01,buyer,154,0.12012987012987013,108,0.14351851851851852,1.5868552123365884
VEV_5400,Mark 22,seller,161,0.052795031055900624,114,0.13596491228070176,1.501409187287707
VEV_5300,Mark 22,seller,84,-0.14285714285714285,79,0.3670886075949367,1.3890523529378964
HYDROGEL_PACK,Mark 14,seller,348,-1.0545977011494252,159,-1.3176100628930818,-1.230501790007323
VEV_5500,Mark 01,buyer,180,0.022222222222222223,118,0.0423728813559322,1.1642257885594989
HYDROGEL_PACK,Mark 38,buyer,354,-1.073446327683616,161,-1.2142857142857142,-1.1439348429690102
VEV_5300,Mark 01,buyer,63,-0.2777777777777778,69,0.3115942028985507,1.1279662165666715
VELVETFRUIT_EXTRACT,Mark 67,buyer,119,2.26890756302521,46,1.0108695652173914,1.0676310483924745
VEV_5200,Mark 22,seller,15,0.4,31,0.9516129032258065,0.9935325959935394
VELVETFRUIT_EXTRACT,Mark 14,seller,214,0.927570093457944,115,0.6217391304347826,0.9475135623021309
VELVETFRUIT_EXTRACT,Mark 49,seller,71,2.492957746478873,34,0.9264705882352942,0.9312276101939096
VEV_5500,Mark 22,seller,186,0.010752688172043012,119,0.03361344537815126,0.9051334996574886
VEV_5300,Mark 14,buyer,20,0.25,10,0.75,0.8466487815452375
VELVETFRUIT_EXTRACT,Mark 55,buyer,403,0.37220843672456577,193,0.4170984455958549,0.8185236774254072
VELVETFRUIT_EXTRACT,Mark 14,buyer,204,-0.553921568627451,109,-0.48623853211009177,-0.7959893829433242
VELVETFRUIT_EXTRACT,Mark 55,seller,389,-0.43316195372750643,208,-0.32211538461538464,-0.6933868760653796
HYDROGEL_PACK,Mark 38,seller,331,0.7099697885196374,175,-0.38857142857142857,-0.35184066685070864
VELVETFRUIT_EXTRACT,Mark 01,buyer,167,-0.0718562874251497,93,-0.24731182795698925,-0.33343935511616196
HYDROGEL_PACK,Mark 14,buyer,324,1.0123456790123457,171,-0.14035087719298245,-0.12615114192475432
VELVETFRUIT_EXTRACT,Mark 22,seller,77,2.4285714285714284,24,0.08333333333333333,0.061293899988168116
VEV_5200,Mark 14,buyer,14,0.39285714285714285,19,0.05263157894736842,0.04289217117754467
VELVETFRUIT_EXTRACT,Mark 01,seller,173,-0.5346820809248555,71,0.014084507042253521,0.016176852548984152
